Time,T-i,H-i,T-e,H-e
11/27/21 00:54:55,87.4,28.2%,74.7,44.5%
11/27/21 00:55:06,87.4,28.2%,74.7,44.5%
11/27/21 00:55:22,87.4,28.2%,74.7,44.5%
11/27/21 00:55:33,87.4,28.2%,74.7,44.5%
11/27/21 00:55:44,87.4,28.1%,74.5,44.5%
11/27/21 00:56:02,87.4,28.1%,74.5,44.5%
11/27/21 00:56:17,87.4,28.1%,74.5,44.5%
11/27/21 00:56:32,87.4,28.0%,74.5,44.6%
11/27/21 00:56:46,87.4,28.0%,74.5,45.0%
11/27/21 00:57:04,87.4,28.1%,74.7,45.6%
11/27/21 00:57:15,87.4,28.2%,75.0,46.3%
11/27/21 00:57:26,87.4,28.2%,75.2,46.8%
11/27/21 00:57:37,87.4,28.3%,75.4,47.1%
11/27/21 00:57:48,87.4,28.5%,75.6,47.5%
11/27/21 00:58:03,87.4,28.6%,75.7,47.9%
11/27/21 00:58:18,87.4,28.8%,75.9,48.0%
11/27/21 00:58:33,87.4,28.8%,76.1,47.6%
11/27/21 00:58:48,87.4,28.8%,76.1,47.2%
11/27/21 00:59:03,87.4,28.8%,76.1,47.0%
11/27/21 00:59:18,87.4,28.8%,76.1,47.2%
11/27/21 00:59:33,87.4,28.9%,76.1,47.6%
11/27/21 00:59:48,87.4,28.9%,76.3,47.5%
11/27/21 01:00:08,87.4,29.0%,76.1,46.6%
11/27/21 01:00:28,87.4,29.0%,76.1,46.3%
11/27/21 01:00:43,87.4,29.0%,76.1,46.2%
11/27/21 01:00:58,87.4,29.0%,76.1,46.0%
11/27/21 01:01:13,87.4,29.0%,76.1,45.7%
11/27/21 01:01:28,87.4,29.0%,76.1,45.5%
11/27/21 01:01:43,87.4,29.0%,76.1,45.4%
11/27/21 01:01:58,87.4,28.9%,75.9,45.2%
11/27/21 01:02:13,87.4,28.9%,75.9,45.1%
11/27/21 01:02:28,87.4,28.9%,75.9,45.0%
11/27/21 01:02:43,87.4,28.9%,75.9,45.0%
11/27/21 01:02:57,87.4,28.8%,75.9,44.9%
11/27/21 01:03:12,87.4,28.8%,75.7,44.8%
11/27/21 01:03:27,87.4,28.8%,75.7,44.8%
11/27/21 01:03:42,87.4,28.8%,75.7,44.7%
11/27/21 01:03:57,87.4,28.7%,75.7,44.7%
11/27/21 01:04:12,87.4,28.7%,75.6,44.6%
11/27/21 01:04:27,87.4,28.6%,75.6,44.5%
11/27/21 01:04:42,87.4,28.6%,75.6,44.5%
11/27/21 01:04:57,87.4,28.6%,75.4,44.4%
11/27/21 01:05:08,87.4,28.6%,75.4,44.4%
11/27/21 01:05:19,87.4,28.5%,75.4,44.4%
11/27/21 01:05:30,87.4,28.5%,75.4,44.4%
11/27/21 01:05:41,87.4,28.5%,75.2,44.3%
11/27/21 01:05:52,87.4,28.5%,75.2,44.3%
11/27/21 01:06:03,87.4,28.4%,75.2,44.3%
11/27/21 01:06:14,87.4,28.4%,75.2,44.3%
11/27/21 01:06:26,87.4,28.4%,75.2,44.3%
11/27/21 01:06:39,87.4,28.3%,75.0,44.2%
11/27/21 01:06:50,87.4,28.3%,75.0,44.3%
11/27/21 01:07:01,87.4,28.3%,75.0,44.3%
11/27/21 01:07:12,87.4,28.3%,74.8,44.2%
11/27/21 01:07:23,87.4,28.3%,74.8,44.2%
11/27/21 01:07:34,87.4,28.3%,74.8,44.2%
11/27/21 01:07:46,87.4,28.3%,74.8,44.2%
11/27/21 01:07:57,87.4,28.2%,74.8,44.2%
11/27/21 01:08:10,87.4,28.2%,74.8,44.2%
11/27/21 01:08:21,87.4,28.2%,74.7,44.2%
11/27/21 01:08:35,87.4,28.2%,74.7,44.2%
11/27/21 01:08:46,87.4,28.2%,74.7,44.2%
11/27/21 01:09:00,87.4,28.2%,74.7,44.2%
11/27/21 01:09:11,87.4,28.2%,74.5,44.1%
11/27/21 01:09:26,87.4,28.1%,74.5,44.2%
11/27/21 01:09:40,87.4,28.1%,74.5,44.1%
11/27/21 01:09:56,87.4,28.1%,74.5,44.2%
11/27/21 01:10:10,87.3,28.0%,74.5,44.6%
11/27/21 01:10:25,87.3,28.0%,74.7,45.3%
11/27/21 01:10:36,87.3,28.1%,74.8,45.8%
11/27/21 01:10:47,87.3,28.2%,75.0,46.3%
11/27/21 01:10:59,87.3,28.2%,75.2,46.8%
11/27/21 01:11:10,87.3,28.3%,75.4,47.1%
11/27/21 01:11:21,87.3,28.5%,75.6,47.5%
11/27/21 01:11:36,87.3,28.6%,75.7,47.8%
11/27/21 01:11:51,87.3,28.8%,76.1,47.8%
11/27/21 01:12:06,87.3,28.8%,76.1,47.4%
11/27/21 01:12:21,87.3,28.8%,76.3,47.1%
11/27/21 01:12:38,87.3,28.8%,76.3,46.9%
11/27/21 01:12:53,87.3,28.8%,76.3,47.0%
11/27/21 01:13:08,87.3,28.9%,76.3,47.3%
11/27/21 01:13:25,87.3,28.9%,76.3,47.2%
11/27/21 01:13:42,87.3,29.0%,76.3,46.8%
11/27/21 01:14:00,87.3,28.9%,76.3,46.1%
11/27/21 01:14:15,87.3,29.0%,76.3,46.1%
11/27/21 01:14:30,87.3,29.0%,76.3,45.7%
11/27/21 01:14:45,87.3,29.0%,76.3,45.5%
11/27/21 01:15:01,87.3,28.9%,76.1,45.2%
11/27/21 01:15:15,87.3,28.9%,76.1,45.0%
11/27/21 01:15:30,87.4,28.9%,76.1,44.9%
11/27/21 01:15:45,87.4,28.9%,76.1,44.8%
11/27/21 01:16:00,87.4,28.9%,76.1,44.6%
11/27/21 01:16:15,87.4,28.9%,76.1,44.7%
11/27/21 01:16:30,87.4,28.8%,75.9,44.5%
11/27/21 01:16:45,87.4,28.8%,75.9,44.4%
11/27/21 01:17:00,87.4,28.8%,75.9,44.5%
11/27/21 01:17:16,87.4,28.7%,75.7,44.4%
11/27/21 01:17:31,87.4,28.7%,75.7,44.3%
11/27/21 01:17:46,87.4,28.6%,75.7,44.3%
11/27/21 01:18:01,87.4,28.6%,75.7,44.2%
11/27/21 01:18:16,87.4,28.6%,75.6,44.2%
11/27/21 01:18:34,87.4,28.5%,75.6,44.1%
11/27/21 01:18:49,87.4,28.5%,75.6,44.1%
11/27/21 01:19:04,87.4,28.5%,75.4,44.0%
11/27/21 01:19:15,87.4,28.4%,75.4,44.0%
11/27/21 01:19:26,87.4,28.4%,75.4,44.0%
11/27/21 01:19:37,87.4,28.3%,75.2,43.9%
11/27/21 01:19:48,87.4,28.3%,75.2,43.9%
11/27/21 01:20:02,87.4,28.3%,75.2,43.9%
11/27/21 01:20:13,87.4,28.3%,75.2,43.9%
11/27/21 01:20:24,87.4,28.2%,75.0,43.9%
11/27/21 01:20:35,87.4,28.2%,75.0,43.9%
11/27/21 01:20:46,87.4,28.2%,75.0,43.9%
11/27/21 01:20:57,87.4,28.2%,75.0,43.9%
11/27/21 01:21:08,87.4,28.1%,74.8,43.8%
11/27/21 01:21:19,87.4,28.1%,75.0,43.9%
11/27/21 01:21:30,87.4,28.1%,74.8,43.8%
11/27/21 01:21:41,87.4,28.1%,74.8,43.9%
11/27/21 01:21:52,87.4,28.0%,74.8,43.9%
11/27/21 01:22:04,87.4,28.0%,74.8,43.9%
11/27/21 01:22:15,87.4,28.0%,74.7,43.8%
11/27/21 01:22:26,87.4,28.0%,74.7,43.9%
11/27/21 01:22:37,87.4,28.0%,74.7,43.9%
11/27/21 01:22:48,87.4,28.0%,74.7,43.9%
11/27/21 01:22:59,87.4,28.0%,74.7,43.9%
11/27/21 01:23:10,87.4,28.0%,74.5,43.8%
11/27/21 01:23:25,87.4,28.0%,74.5,43.8%
11/27/21 01:23:40,87.4,27.9%,74.5,43.8%
11/27/21 01:23:55,87.4,27.9%,74.5,43.9%
11/27/21 01:24:10,87.4,27.9%,74.5,44.2%
11/27/21 01:24:25,87.3,27.8%,74.7,44.9%
11/27/21 01:24:36,87.3,27.9%,74.8,45.5%
11/27/21 01:24:47,87.3,28.0%,75.0,45.9%
11/27/21 01:24:58,87.3,28.1%,75.2,46.2%
11/27/21 01:25:09,87.3,28.2%,75.4,46.8%
11/27/21 01:25:23,87.3,28.4%,75.6,47.2%
11/27/21 01:25:38,87.3,28.4%,75.9,47.4%
11/27/21 01:25:53,87.3,28.6%,76.1,47.5%
11/27/21 01:26:08,87.3,28.7%,76.3,47.0%
11/27/21 01:26:23,87.3,28.6%,76.3,46.7%
11/27/21 01:26:38,87.3,28.7%,76.3,46.5%
11/27/21 01:26:53,87.3,28.7%,76.3,46.7%
11/27/21 01:27:08,87.3,28.7%,76.3,47.0%
11/27/21 01:27:23,87.3,28.7%,76.3,46.8%
11/27/21 01:27:38,87.3,28.8%,76.3,46.5%
11/27/21 01:27:53,87.3,28.8%,76.3,46.2%
11/27/21 01:28:07,87.3,28.8%,76.3,45.9%
11/27/21 01:28:27,87.3,28.8%,76.3,45.3%
11/27/21 01:28:42,87.4,28.9%,76.3,45.2%
11/27/21 01:29:00,87.3,28.8%,76.3,44.8%
11/27/21 01:29:15,87.4,28.9%,76.1,44.7%
11/27/21 01:29:30,87.4,28.8%,76.3,44.7%
11/27/21 01:29:45,87.4,28.8%,76.1,44.4%
11/27/21 01:30:00,87.4,28.8%,76.1,44.4%
11/27/21 01:30:15,87.4,28.7%,76.1,44.3%
11/27/21 01:30:30,87.4,28.7%,75.9,44.2%
11/27/21 01:30:48,87.4,28.7%,75.9,44.1%
11/27/21 01:31:03,87.4,28.6%,75.9,44.1%
11/27/21 01:31:18,87.4,28.6%,75.9,44.0%
11/27/21 01:31:33,87.4,28.6%,75.9,44.0%
11/27/21 01:31:48,87.4,28.5%,75.7,44.0%
11/27/21 01:32:03,87.4,28.5%,75.7,43.9%
11/27/21 01:32:18,87.4,28.4%,75.7,43.9%
11/27/21 01:32:35,87.4,28.4%,75.6,43.8%
11/27/21 01:32:50,87.4,28.3%,75.6,43.8%
11/27/21 01:33:05,87.4,28.3%,75.6,43.7%
11/27/21 01:33:20,87.4,28.3%,75.4,43.7%
11/27/21 01:33:31,87.4,28.2%,75.4,43.7%
